,SYMBOL,NAME OF COMPANY,isactve,FUT,IDX
462,GALLISPAT,Gallantt Ispat Limited,True,False,False
463,GAMMNINFRA,Gammon Infrastructure Projects Limited,True,False,False
464,GANDHITUBE,Gandhi Special Tubes Limited,True,False,False
465,GANECOS,Ganesha Ecosphere Limited,True,False,False
466,GANESHHOUC,Ganesh Housing Corporation Limited,True,False,False
467,GANGESSECU,Ganges Securities Limited,True,False,False
468,GANGOTRI,Gangotri Textiles Limited,True,False,False
469,GARDENSILK,Garden Silk Mills Limited,True,False,False
470,GARWALLROP,Garware  Wall Ropes Limited,True,False,False
471,GATI,GATI Limited,True,False,False
472,GAYAHWS,Gayatri Highways Limited,True,False,False
473,GAYAPROJ,Gayatri Projects Limited,True,False,False
474,GDL,Gateway Distriparks Limited,True,False,False
475,GEECEE,GeeCee Ventures Limited,True,False,False
476,GEMINI,Gemini Communication Limited,True,False,False
477,GENESYS,Genesys International Corporation Limited,True,False,False
478,GENUSPAPER,Genus Paper & Boards Limited,True,False,False
479,GENUSPOWER,Genus Power Infrastructures Limited,True,False,False
480,GEOJITFSL,Geojit Financial Services Limited,True,False,False
481,GEPIL,GE Power India Limited,True,False,False
482,GESHIP,The Great Eastern Shipping Company Limited,True,False,False
483,GET&D,GE T&D India Limited,True,False,False
484,GHCL,GHCL Limited,True,False,False
485,GICHSGFIN,GIC Housing Finance Limited,True,False,False
486,GICRE,General Insurance Corporation of India,True,False,False
487,GILLANDERS,Gillanders Arbuthnot & Company Limited,True,False,False
488,GILLETTE,Gillette India Limited,True,False,False
489,GINNIFILA,Ginni Filaments Limited,True,False,False
490,GIPCL,Gujarat Industries Power Company Limited,True,False,False
491,GISOLUTION,GI Engineering Solutions Limited,True,False,False
492,GITANJALI,Gitanjali Gems Limited,True,False,False
